,AÑO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACIÓN_5_16
256,2018,85,Casanare,92859
257,2018,86,Putumayo,80972
258,2018,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",10853
259,2018,91,Amazonas,22257
260,2018,94,Guainía,15766
261,2018,95,Guaviare,21118
262,2018,97,Vaupés,15363
263,2018,99,Vichada,32951
264,2019,5,Antioquia,1149985
265,2019,8,Atlántico,533666
266,2019,11,"Bogotá, D.C.",1181531
267,2019,13,Bolívar,461988
268,2019,15,Boyacá,234368
269,2019,17,Caldas,161892
270,2019,18,Caquetá,98675
271,2019,19,Cauca,299016
272,2019,20,Cesar,296234
273,2019,23,Córdoba,387454
274,2019,25,Cundinamarca,570377
275,2019,27,Chocó,143999
276,2019,41,Huila,242194
277,2019,44,La Guajira,245778
278,2019,47,Magdalena,323546
279,2019,50,Meta,218194
280,2019,52,Nariño,309763
281,2019,54,Norte de Santander,318252
282,2019,63,Quindio,83130
283,2019,66,Risaralda,156174
284,2019,68,Santander,405798
285,2019,70,Sucre,203411
286,2019,73,Tolima,251347
287,2019,76,Valle del Cauca,854243
288,2019,81,Arauca,64095
289,2019,85,Casanare,93431
290,2019,86,Putumayo,80890
291,2019,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",11002
292,2019,91,Amazonas,22435
293,2019,94,Guainía,15808
294,2019,95,Guaviare,21301
295,2019,97,Vaupés,15675
296,2019,99,Vichada,33198
297,2020,5,Antioquia,1151149
298,2020,8,Atlántico,542750
299,2020,11,"Bogotá, D.C.",1181597
300,2020,13,Bolívar,466941
301,2020,15,Boyacá,234540
302,2020,17,Caldas,161746
303,2020,18,Caquetá,98602
304,2020,19,Cauca,296813
305,2020,20,Cesar,302403
306,2020,23,Córdoba,388446
307,2020,25,Cundinamarca,592264
308,2020,27,Chocó,143711
309,2020,41,Huila,242199
310,2020,44,La Guajira,252101
311,2020,47,Magdalena,327562
312,2020,50,Meta,217673
313,2020,52,Nariño,305761
314,2020,54,Norte de Santander,325981
315,2020,63,Quindio,83129
316,2020,66,Risaralda,155149
317,2020,68,Santander,408876
318,2020,70,Sucre,204837
319,2020,73,Tolima,247605
320,2020,76,Valle del Cauca,846957
321,2020,81,Arauca,66580
322,2020,85,Casanare,93855
323,2020,86,Putumayo,80810
324,2020,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",11169
325,2020,91,Amazonas,22563
326,2020,94,Guainía,15771
327,2020,95,Guaviare,21482
328,2020,97,Vaupés,15910
329,2020,99,Vichada,33298
330,2021,5,Antioquia,1149861
331,2021,8,Atlántico,546055
332,2021,11,"Bogotá, D,C,",1174274
333,2021,13,Bolívar,469046
334,2021,15,Boyacá,234348
335,2021,17,Caldas,161737
336,2021,18,Caquetá,98412
337,2021,19,Cauca,294933
338,2021,20,Cesar,305550
339,2021,23,Córdoba,388712
340,2021,25,Cundinamarca,610367
341,2021,27,Chocó,143120
342,2021,41,Huila,242129
343,2021,44,La Guajira,255513
344,2021,47,Magdalena,328343
345,2021,50,Meta,216914
346,2021,52,Nariño,302506
347,2021,54,Norte de Santander,328034
348,2021,63,Quindio,83299
349,2021,66,Risaralda,154342
350,2021,68,Santander,409198
351,2021,70,Sucre,205082
352,2021,73,Tolima,244021
353,2021,76,Valle del Cauca,839566
354,2021,81,Arauca,67759
355,2021,85,Casanare,93896
356,2021,86,Putumayo,80699
357,2021,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",11312
358,2021,91,Amazonas,22670
359,2021,94,Guainía,15643
360,2021,95,Guaviare,21658
361,2021,97,Vaupés,16081
362,2021,99,Vichada,33183
363,2022,5,Antioquia,1134099
364,2022,8,Atlántico,544473
365,2022,11,"Bogotá, D.C.",1150474
366,2022,13,Bolívar,464305
367,2022,15,Boyacá,234191
368,2022,17,Caldas,159847
369,2022,18,Caquetá,97946
370,2022,19,Cauca,295168
371,2022,20,Cesar,308443
372,2022,23,Córdoba,390847
373,2022,25,Cundinamarca,583695
374,2022,27,Chocó,147806
375,2022,41,Huila,247652
376,2022,44,La Guajira,262402
377,2022,47,Magdalena,327302
378,2022,50,Meta,221130
379,2022,52,Nariño,307217
380,2022,54,Norte de Santander,328869
381,2022,63,Quindio,81903
382,2022,66,Risaralda,155669
383,2022,68,Santander,405521
384,2022,70,Sucre,203779
385,2022,73,Tolima,242793
386,2022,76,Valle del Cauca,848047
387,2022,81,Arauca,66682
388,2022,85,Casanare,95609
389,2022,86,Putumayo,81190
390,2022,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",10796
391,2022,91,Amazonas,23239
392,2022,94,Guainía,16612
393,2022,95,Guaviare,22538
394,2022,97,Vaupés,15585
395,2022,99,Vichada,33949
